[VAMS][2014-05-19 15:46:53,794] INFO | server start nosometings | [NioProcessor-2] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:47:03,935] INFO | server start nosometings | [NioProcessor-2] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:47:14,076] INFO | server start nosometings | [NioProcessor-2] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:47:18,647] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:47:18,836] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:47:19,319] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:47:19,553] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:47:21,004] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:47:21,613] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:47:21,816] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:47:22,674] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:47:22,674] INFO | server accept data is helolo | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:47:22,674] INFO | server send message is success | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:47:24,204] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:47:24,501] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:47:24,829] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:47:25,438] DEBUG | Processing a MESSAGE_RECEIVED for session 1 | [NioProcessor-2] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:47:25,438] INFO | server accept data is bye | [NioProcessor-2] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:47:25,438] INFO | server connect is closed | [NioProcessor-2] com.huangxu.mina.Demo1Handler.sessionClosed(38)
[VAMS][2014-05-19 15:47:42,739] INFO | server connecting  the client | [NioProcessor-3] com.huangxu.mina.Demo1Handler.sessionCreated(44)
[VAMS][2014-05-19 15:47:42,739] INFO | server to  the client is open ！ | [NioProcessor-3] com.huangxu.mina.Demo1Handler.sessionOpened(55)
[VAMS][2014-05-19 15:47:45,361] DEBUG | Processing a MESSAGE_RECEIVED for session 2 | [NioProcessor-3] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:47:45,518] DEBUG | Processing a MESSAGE_RECEIVED for session 2 | [NioProcessor-3] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:47:46,267] DEBUG | Processing a MESSAGE_RECEIVED for session 2 | [NioProcessor-3] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:47:46,267] INFO | server accept data is gg | [NioProcessor-3] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:47:46,267] INFO | server send message is success | [NioProcessor-3] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:47:54,394] DEBUG | Processing a MESSAGE_RECEIVED for session 2 | [NioProcessor-3] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:47:54,738] DEBUG | Processing a MESSAGE_RECEIVED for session 2 | [NioProcessor-3] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:47:55,066] DEBUG | Processing a MESSAGE_RECEIVED for session 2 | [NioProcessor-3] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:47:55,347] DEBUG | Processing a MESSAGE_RECEIVED for session 2 | [NioProcessor-3] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:47:56,236] DEBUG | Processing a MESSAGE_RECEIVED for session 2 | [NioProcessor-3] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:47:56,236] INFO | server accept data is haha | [NioProcessor-3] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:47:56,236] INFO | server send message is success | [NioProcessor-3] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:48:06,377] INFO | server start nosometings | [NioProcessor-3] com.huangxu.mina.Demo1Handler.sessionIdle(49)
[VAMS][2014-05-19 15:48:14,100] INFO | server connecting  the client | [NioProcessor-4] com.huangxu.mina.Demo1Handler.sessionCreated(44)
[VAMS][2014-05-19 15:48:14,100] INFO | server to  the client is open ！ | [NioProcessor-4] com.huangxu.mina.Demo1Handler.sessionOpened(55)
[VAMS][2014-05-19 15:48:14,100] DEBUG | Processing a MESSAGE_RECEIVED for session 3 | [NioProcessor-4] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2014-05-19 15:48:14,100] INFO | server accept data is GET /favicon.ico HTTP/1.1 | [NioProcessor-4] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:48:14,100] INFO | server accept data is Host: localhost:3305 | [NioProcessor-4] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:48:14,100] INFO | server accept data is Connection: keep-alive | [NioProcessor-4] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:48:14,100] INFO | server accept data is User-Agent: Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36 LBBROWSER | [NioProcessor-4] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:48:14,116] INFO | server accept data is Accept-Encoding: gzip,deflate,sdch | [NioProcessor-4] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:48:14,116] INFO | server accept data is Accept-Language: zh-CN,zh;q=0.8 | [NioProcessor-4] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:48:14,116] INFO | server accept data is  | [NioProcessor-4] com.huangxu.mina.Demo1Handler.messageReceived(22)
[VAMS][2014-05-19 15:48:14,116] INFO | server send message is success | [NioProcessor-4] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:48:14,116] INFO | server send message is success | [NioProcessor-4] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:48:14,116] INFO | server send message is success | [NioProcessor-4] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:48:14,116] INFO | server send message is success | [NioProcessor-4] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:48:14,116] INFO | server send message is success | [NioProcessor-4] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:48:14,116] INFO | server send message is success | [NioProcessor-4] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:48:14,116] INFO | server send message is success | [NioProcessor-4] com.huangxu.mina.Demo1Handler.messageSent(32)
[VAMS][2014-05-19 15:48:14,366] INFO | server connecting  the client | [NioProcessor-5] com.huangxu.mina.Demo1Handler.sessionCreated(44)
